,Accuracy,Precision,Recall,F1-Score,ROC-AUC
LightGBM,0.8079470198675497,0.849624060150376,0.7483443708609272,0.795774647887324,0.8825928687338276
XGBoost,0.7947019867549668,0.8156028368794326,0.7615894039735099,0.7876712328767124,0.8761019253541511
Random Forest,0.7880794701986755,0.8129496402877698,0.7483443708609272,0.7793103448275862,0.8918907065479584
Gradient Boosting,0.7715231788079471,0.7971014492753623,0.7284768211920529,0.7612456747404844,0.8588219814920399
SVM,0.7218543046357616,0.6892655367231638,0.8079470198675497,0.7439024390243902,0.8069821499057058
Decision Tree,0.6920529801324503,0.6686046511627907,0.7615894039735099,0.7120743034055728,0.6920529801324504
AdaBoost,0.6986754966887417,0.6851851851851852,0.7350993377483444,0.7092651757188498,0.7829700451734575
K-Nearest Neighbors,0.6390728476821192,0.5945945945945946,0.8741721854304636,0.707774798927614,0.7653830972325776
Naive Bayes,0.5596026490066225,0.5394736842105263,0.8145695364238411,0.6490765171503958,0.5486162887592649
Logistic Regression,0.543046357615894,0.5355191256830601,0.6490066225165563,0.5868263473053892,0.5807201438533398
